,ctx_dhs,ctx_footprint_no,ctx_sox2no,ctx_sox2score,hox,lhx,log2fc,maxcons,meancons,sc_dhs,sc_footprint_no,sc_sox2no,sc_sox2score
ENSMUSG00000022314,2271.5816111371714,0.0,0.0,0.0,0.7088027499305037,2.7925771071701937,0.144974411017517,20.9957744959312,2.5639571968130164,1291.667540738009,0.0,0.0,0.0
ENSMUSG00000022315,799.6242910630691,0.3435572072821982,0.4508024149346109,19.546768689146177,0.5570771332683064,1.4452096136457453,0.821514789278616,10.315881870660899,1.3912105237449017,496.6443760683428,0.0,0.0,0.0
ENSMUSG00000022321,535.4429514713382,0.0,0.31718756258488406,3.647656969726167,0.0,0.5613675404645059,0.94132119344001,7.383747351750313,0.9192270729857728,408.3547004509627,0.0,0.0,0.0
ENSMUSG00000022322,2877.0398973277383,2.4451375914486855,0.7328477920164251,8.335535384014616,0.0,0.450579836544538,0.0764026292822235,6.774200017490092,0.5120667154780487,2302.305204952357,3.05625409919372,0.0,0.0
ENSMUSG00000022323,1965.3557006356684,0.0,0.0,0.0,0.6013542962942847,1.5467241323587584,-0.617436174404645,19.467906708540553,1.384492276285929,1622.9768924788423,0.0,0.0,0.0
ENSMUSG00000022324,1926.1931308729495,0.0,0.0,0.0,0.671328965902434,0.8440153474561589,0.223292196180181,15.101174543219026,1.4467171871588675,1564.569399438774,0.0,0.0,0.0
ENSMUSG00000022325,1922.3035254294334,0.0,0.0,0.0,0.5737867387101081,1.6385906053953359,-0.335291310526798,19.053686469746605,1.3094949988692317,1579.7560288104196,0.0,0.0,0.0
ENSMUSG00000022329,698.8672568635216,0.0,0.0,0.0,0.9117403804439562,0.3475425216621358,0.178860110166555,12.685183238221553,1.2276984691844208,522.6915305585874,0.0,0.0,0.0
ENSMUSG00000022330,1572.1777215206598,0.0,0.0,0.0,0.15152497883572752,1.0248627292716987,-1.03529637767664,15.489713405357667,1.393644364846017,1159.402042516178,0.0,0.06306508440896307,1.1667040615658166
ENSMUSG00000022332,1130.1851070573211,0.0,0.1692388920113939,2.2001055961481204,0.6041307909423852,2.458360779236462,-0.00599976687445225,13.417035453112415,1.3074392540957473,931.5321056502268,0.0,0.0,0.0
ENSMUSG00000022335,912.9053695008027,1.410745603055709,0.0,0.0,0.0,0.0,0.034911879975664,2.000133700107502,0.056990580243266586,704.3048915127542,0.0,0.0,0.0
ENSMUSG00000022336,1081.0942594384728,0.0,0.21364746118908234,2.670593264863529,0.0,0.4272949223781647,0.0976884779949435,8.457759180492115,0.6184388540681373,782.9645522556069,0.0,0.0,0.0
ENSMUSG00000022337,1121.7311102830797,0.0,0.8350246780642877,10.437808475803596,0.0,1.6700493561285754,-0.180058187936869,10.136312053873075,1.3162568252985163,791.1189265319996,0.0,0.0,0.0
ENSMUSG00000022338,2855.9709296666456,3.9714464011122272,0.39895691811499934,5.132566297360951,0.0,1.1615082156846173,0.148199353802872,11.697627567744291,0.7987941817966632,2166.7572059421927,3.9714464011122272,0.0,0.0
ENSMUSG00000022339,3329.719159034861,1.276707324800927,1.2437607314651427,16.059643291832877,0.0,1.0502897293378726,0.314252323146934,17.549975735005194,1.0341815445832925,2209.096309096666,1.276707324800927,0.0,0.0
ENSMUSG00000022340,3142.2480359756964,0.9333046175414766,1.0766097114219564,16.34561894030741,0.0,1.2203924176812586,0.557751313568363,19.694627319158332,1.2257812040576646,1998.611419297578,0.9333046175414766,0.0,0.0
ENSMUSG00000022342,646.6988349987794,0.0,0.27225287587536107,6.701242794043675,0.0,0.07668646905936759,0.432509582664896,7.657881615622357,0.6939872003477017,425.7144241567017,0.0,0.0,0.0
ENSMUSG00000022346,1832.7335847961142,0.0,0.9424937415003022,13.666159251754381,0.2917847580518416,2.4726233396922295,0.172368006852856,22.513380867312904,1.2838505544484144,1391.7790454836922,0.0,0.05462137441688801,2.4852725359684045
ENSMUSG00000022347,1302.4239113494302,0.0,0.6541783117054787,21.987341202637566,0.18229081181889434,1.1300489305900325,-0.251739231833987,12.31694144829445,1.1098954894203474,1147.037629733973,0.0,1.0731023708875003,43.118739200328896
ENSMUSG00000022350,4052.1326604496358,0.12572971194497806,2.222264886341117,46.342064202639804,0.4228281447907213,4.341907623175614,-0.146260130102238,26.9656690789786,1.8075863007707074,2616.7738399595314,0.0,0.17583556683527304,4.835478087970008
ENSMUSG00000022351,4261.914318198434,0.1391650250551157,2.3061017380744806,49.69476876138161,0.40629512083533753,4.041829248814508,-0.0285206738576735,27.413735913303814,1.7718583653854243,2785.436487365225,0.0,0.19462512627818554,5.352190972650102
ENSMUSG00000022353,5776.6949763347,1.311148119612266,1.48581816407797,63.89631399764576,0.8207391026466514,0.9005157128915331,-1.60401662183757,30.476744317813424,1.143374573373567,4321.077038488663,0.0,0.5532684235599546,15.214881647898753
ENSMUSG00000022354,5815.845969158989,1.3709544561087506,1.4210010283244927,61.10890961757998,0.7849352882092048,0.8723063793957228,0.21734045355184,30.359203927384492,1.1614153990672633,4335.019397098752,0.0,0.5291327147733739,14.551149656267782
ENSMUSG00000022358,5079.406479079009,2.777485195693516,0.511179279495336,3.6959281239266533,0.14960422079042857,0.23459513671475074,3.17619578004999,20.855492812623964,0.6560974057879995,4402.329635727079,3.332982234832219,0.0,0.0
ENSMUSG00000022359,5932.344723342491,3.4150902234815703,0.6285266119717273,4.5443727377135135,0.18394766337733812,0.30994902240049554,0.0895377813936425,22.89586622217686,0.7646718417473778,5004.657485602906,4.098108268177885,0.0,0.0
ENSMUSG00000022360,6321.316273607786,4.538233831359086,0.8352343708950889,6.038911053884979,0.2444437641496453,0.3731337940216668,-0.32220514520737,24.892349434819966,0.8966291586824972,5317.038866616508,5.445880597630904,0.0,0.0
ENSMUSG00000022361,6306.187378057919,4.221877407599521,1.1076283304182593,8.008373698738934,0.38901912080798895,0.4277299525902669,0.27568847508144,27.871670136034968,1.0613255099356642,5340.382691790197,5.066252889119426,0.0,0.0
ENSMUSG00000022362,6228.372487307982,3.772432098531884,1.2395905087410024,8.962486562310318,0.43536662671878074,0.4786894438993968,-0.980198964602976,29.28739637711132,1.1368982506977088,5292.720418314574,4.526918518238261,0.0,0.0
